ลำดับ,หน่วยงาน,ชื่อหน่วยงาน,จังหวัด,ชื่อแหล่งท่องเที่ยว,latitude,longitude,เปิดตลอดปี,วันที่เริ่มปิด,วันที่สิ้นสุดการปิด,สาเหตุการปิด,หมายเหตุ,,,,,,,,,,,,,,
89,อุทยานแห่งชาติ,เจ็ดคด-โป่งก้อนเส้า,สระบุรี,น้ำตกคลองผักหนาม,14.503469,101.179553,ไม่ใช่,1-มี.ค.,31-มี.ค.,ปิดประจำปีฟื้นฟูธรรมชาติ,,,,,,,,,,,,,,,
90,อุทยานแห่งชาติ,เจ็ดคด-โป่งก้อนเส้า,สระบุรี,น้ำตกหินดาด,14.500566,101.177932,ไม่ใช่,1-มี.ค.,31-มี.ค.,ปิดประจำปีฟื้นฟูธรรมชาติ,,,,,,,,,,,,,,,
91,อุทยานแห่งชาติ,เจ็ดคด-โป่งก้อนเส้า,สระบุรี,น้ำตกเจ็ดคดใหญ่,14.481482,101.169171,ไม่ใช่,1-มี.ค.,31-มี.ค.,ปิดประจำปีฟื้นฟูธรรมชาติ,,,,,,,,,,,,,,,
92,อุทยานแห่งชาติ,เจ็ดคด-โป่งก้อนเส้า,สระบุรี,น้ำตกเจ็ดคดใต้,14.490615,101.172379,ไม่ใช่,1-มี.ค.,31-มี.ค.,ปิดประจำปีฟื้นฟูธรรมชาติ,,,,,,,,,,,,,,,
93,อุทยานแห่งชาติ,เจ็ดคด-โป่งก้อนเส้า,สระบุรี,น้ำตกเจ็ดคดกลาง,14.49298,101.172585,ไม่ใช่,1-มี.ค.,31-มี.ค.,ปิดประจำปีฟื้นฟูธรรมชาติ,,,,,,,,,,,,,,,
94,อุทยานแห่งชาติ,เจ็ดคด-โป่งก้อนเส้า,สระบุรี,น้ำตกเจ็ดคดเหนือ,14.494078,101.174971,ไม่ใช่,1-มี.ค.,31-มี.ค.,ปิดประจำปีฟื้นฟูธรรมชาติ,,,,,,,,,,,,,,,
,,หมู่เกาะช้าง,,เส้นทางเดินป่าระยะไกลตามรอยเสด็จเกาะช้าง,,,ไม่ใช่,1-มิ.ย.,31-ต.ค.,,,,,,,,,,,,,,,,
95,อุทยานแห่งชาติ,หมู่เกาะช้าง,ตราด,น้ำตกธารมะยม,12.0798,102.3671,ใช่,,,,,,,,,,,,,,,,,,
96,อุทยานแห่งชาติ,หมู่เกาะช้าง,ตราด,น้ำตกคลองพลู,12.0621,102.3087,ใช่,,,,,,,,,,,,,,,,,,
97,อุทยานแห่งชาติ,หมู่เกาะช้าง,ตราด,หมู่เกาะรัง,11.7981,102.3898,ใช่,,,,,,,,,,,,,,,,,,
98,อุทยานแห่งชาติ,หมู่เกาะช้าง,ตราด,จุดชมทิวทัศน์ไก่แบ้,12.0206,102.2919,ใช่,,,,,,,,,,,,,,,,,,
99,อุทยานแห่งชาติ,หมู่เกาะช้าง,ตราด,เกาะง่าม,11.9507,102.439,ใช่,,,,,,,,,,,,,,,,,,
100,อุทยานแห่งชาติ,หมู่เกาะช้าง,ตราด,ลานกางเต็นท์ธารมะยม,12.0785,102.3694,ใช่,,,,,,,,,,,,,,,,,,
101,อุทยานแห่งชาติ,หมู่เกาะช้าง,ตราด,เกาะเทียน,,,ไม่ใช่,,,ปิดไม่มีกำหนด,,,,,,,,,,,,,,,
102,อุทยานแห่งชาติ,หมู่เกาะช้าง,ตราด,เกาะกระ,,,ไม่ใช่,,,ปิดไม่มีกำหนด,,,,,,,,,,,,,,,
