fiscal_year_be,park_name_x,office,month_th,visitors,month_num,calendar_year_be,calendar_year_ce,date,park_key,park_key_final,park_name_y,min_rain,max_rain,avg_rain
2566,ภูสวนทราย,สำนักบริหารพื้นที่อนุรักษ์ที่ 8 (ขอนแก่น),ก.ย.,555,9,2566,2023,2023-09-01,ภูสวนทราย,ภูสวนทราย,ภูสวนทราย,288.1000061,396.1300049,345.2427449
2566,ภูสอยดาว,สำนักบริหารพื้นที่อนุรักษ์ที่ 11 (พิษณุโลก),ก.ย.,4567,9,2566,2023,2023-09-01,ภูสอยดาว,ภูสอยดาว,ภูสอยดาว,284.6600037,537.25,433.2430176
2566,ภูหินจอมธาตุ-ภูพระบาท,สำนักบริหารพื้นที่อนุรักษ์ที่ 10 (อุดรธานี),ก.ย.,0,9,2566,2023,2023-09-01,ภูหินจอมธาตุ-ภูพระบาท,ภูหินจอมธาตุ-ภูพระบาท,ภูหินจอมธาตุ-ภูพระบาท,299.7099915,456.3200073,343.5977111
2566,ภูหินร่องกล้า,สำนักบริหารพื้นที่อนุรักษ์ที่ 11 (พิษณุโลก),ก.ย.,7865,9,2566,2023,2023-09-01,ภูหินร่องกล้า,ภูหินร่องกล้า,ภูหินร่องกล้า,272.7399902,422.6099854,333.7628666
2566,ภูเก้า-ภูพานคำ,สำนักบริหารพื้นที่อนุรักษ์ที่ 10 (อุดรธานี),ก.ย.,5013,9,2566,2023,2023-09-01,ภูเก้า-ภูพานคำ,ภูเก้า-ภูพานคำ,ภูเก้า-ภูพานคำ,306.4100037,350.6300049,326.418376
2566,ภูเรือ,สำนักบริหารพื้นที่อนุรักษ์ที่ 8 (ขอนแก่น),ก.ย.,2752,9,2566,2023,2023-09-01,ภูเรือ,ภูเรือ,ภูเรือ,288.1000061,396.1300049,345.2427449
2566,ภูเวียง,สำนักบริหารพื้นที่อนุรักษ์ที่ 8 (ขอนแก่น),ก.ย.,5336,9,2566,2023,2023-09-01,ภูเวียง,ภูเวียง,ภูเวียง,317.6600037,428.0499878,355.9758359
2566,ภูแลนคา,สำนักบริหารพื้นที่อนุรักษ์ที่ 7 (นครราชสีมา),ก.ย.,8567,9,2566,2023,2023-09-01,ภูแลนคา,ภูแลนคา,ภูแลนคา,217.5700073,363.8200073,310.844778
2566,รามคำแหง,สำนักบริหารพื้นที่อนุรักษ์ที่ 14 (ตาก),ก.ย.,1151,9,2566,2023,2023-09-01,รามคำแหง,รามคำแหง,รามคำแหง,196.0599976,511.8200073,394.9227479
2566,ลานสาง,สำนักบริหารพื้นที่อนุรักษ์ที่ 14 (ตาก),ก.ย.,959,9,2566,2023,2023-09-01,ลานสาง,ลานสาง,ลานสาง,253.4199982,460.9700012,359.5609933
2566,ลำคลองงู,สำนักบริหารพื้นที่อนุรักษ์ที่ 3 (บ้านโป่ง),ก.ย.,0,9,2566,2023,2023-09-01,ลำคลองงู,ลำคลองงู,ลำคลองงู,102.6100006,422.6700134,254.0224666
2566,ลำน้ำกก,สำนักบริหารพื้นที่อนุรักษ์ที่ 15 (เชียงราย),ก.ย.,0,9,2566,2023,2023-09-01,ลำน้ำกก,ลำน้ำกก,ลำน้ำกก,245.6300049,394.1000061,290.5354538
2566,ลำน้ำกระบุรี,สำนักบริหารพื้นที่อนุรักษ์ที่ 4 (สุราษฎร์ธานี),ก.ย.,2000,9,2566,2023,2023-09-01,ลำน้ำกระบุรี,ลำน้ำกระบุรี,ลำน้ำกระบุรี,234.0500031,908.7999878,579.8098452
2566,ลำน้ำน่าน,สำนักบริหารพื้นที่อนุรักษ์ที่ 11 (พิษณุโลก),ก.ย.,1404,9,2566,2023,2023-09-01,ลำน้ำน่าน,ลำน้ำน่าน,ลำน้ำน่าน,284.6600037,537.25,433.2430176
2566,ศรีน่าน,สำนักบริหารพื้นที่อนุรักษ์ที่ 13 (แพร่),ก.ย.,1115,9,2566,2023,2023-09-01,ศรีน่าน,ศรีน่าน,ศรีน่าน,204.1900024,459.1799927,297.1029319
2566,ศรีพังงา,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),ก.ย.,322,9,2566,2023,2023-09-01,ศรีพังงา,ศรีพังงา,ศรีพังงา,401.4599915,1084.400024,737.5155774
2566,ศรีลานนา,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 (เชียงใหม่),ก.ย.,4934,9,2566,2023,2023-09-01,ศรีลานนา,ศรีลานนา,ศรีลานนา,299.3399963,522.7700195,378.3457281
2566,ศรีสัชนาลัย,สำนักบริหารพื้นที่อนุรักษ์ที่ 14 (ตาก),ก.ย.,383,9,2566,2023,2023-09-01,ศรีสัชนาลัย,ศรีสัชนาลัย,ศรีสัชนาลัย,196.0599976,511.8200073,394.9227479
2566,สันกาลาคีรี,สำนักบริหารพื้นที่อนุรักษ์ที่ 6 (สงขลา),ก.ย.,147,9,2566,2023,2023-09-01,สันกาลาคีรี,สันกาลาคีรี,สันกาลาคีรี,161.2599945,349.3299866,230.9672856
2566,สาละวิน,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 สาขาแม่สะเรียง,ก.ย.,0,9,2566,2023,2023-09-01,สาละวิน,สาละวิน,สาละวิน,328.5,392.3699951,344.708217
2566,สิรินาถ,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),ก.ย.,1648,9,2566,2023,2023-09-01,สิรินาถ,สิรินาถ,สิรินาถ,374.2900085,500.9100037,432.395905
2566,หมู่เกาะชุมพร,สำนักบริหารพื้นที่อนุรักษ์ที่ 4 (สุราษฎร์ธานี),ก.ย.,1417,9,2566,2023,2023-09-01,หมู่เกาะชุมพร,หมู่เกาะชุมพร,หมู่เกาะชุมพร,183.2299957,854.9799805,333.9539742
2566,หมู่เกาะช้าง,สำนักบริหารพื้นที่อนุรักษ์ที่ 2 (ศรีราชา),ก.ย.,4761,9,2566,2023,2023-09-01,หมู่เกาะช้าง,หมู่เกาะช้าง,หมู่เกาะช้าง,512.6500244,1192.699951,632.0836923
2566,หมู่เกาะระนอง,สำนักบริหารพื้นที่อนุรักษ์ที่ 4 (สุราษฎร์ธานี),ก.ย.,27,9,2566,2023,2023-09-01,หมู่เกาะระนอง,หมู่เกาะระนอง,หมู่เกาะระนอง,234.0500031,908.7999878,579.8098452
2566,หมู่เกาะลันตา,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),ก.ย.,1278,9,2566,2023,2023-09-01,หมู่เกาะลันตา,หมู่เกาะลันตา,หมู่เกาะลันตา,220.1300049,525.1900024,334.6009188
2566,หมู่เกาะสิมิลัน,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),ก.ย.,0,9,2566,2023,2023-09-01,หมู่เกาะสิมิลัน,หมู่เกาะสิมิลัน,หมู่เกาะสิมิลัน,401.4599915,1084.400024,737.5155774
2566,หมู่เกาะสุรินทร์,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),ก.ย.,0,9,2566,2023,2023-09-01,หมู่เกาะสุรินทร์,หมู่เกาะสุรินทร์,หมู่เกาะสุรินทร์,401.4599915,1084.400024,737.5155774
