park_name,province,office,latitude,longitude
แม่วาง,เชียงใหม่,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 (เชียงใหม่),18.523782500000003,98.7438905
แม่สะเรียง,แม่ฮ่องสอน,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 สาขาแม่สะเรียง,18.11161168,97.98605209
แม่เงา,แม่ฮ่องสอน,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 สาขาแม่สะเรียง,17.79800008,97.981422305
แม่เมย,ตาก,สำนักบริหารพื้นที่อนุรักษ์ที่ 14 (ตาก),17.495278,98.0727775
แม่โถ,เชียงใหม่,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 (เชียงใหม่),18.2576,98.1632
แหลมสน,ระนอง,สำนักบริหารพื้นที่อนุรักษ์ที่ 4 (สุราษฎร์ธานี),,
ใต้ร่มเย็น,สุราษฎร์ธานี,สำนักบริหารพื้นที่อนุรักษ์ที่ 4 (สุราษฎร์ธานี),8.863011,99.477738
ไทรทอง,ชัยภูมิ,สำนักบริหารพื้นที่อนุรักษ์ที่ 7 (นครราชสีมา),15.88196,101.455575
ไทรโยค,กาญจนบุรี,สำนักบริหารพื้นที่อนุรักษ์ที่ 3 (บ้านโป่ง),14.43547,98.853004
ไม้กลายเป็นหิน,ตาก,สำนักบริหารพื้นที่อนุรักษ์ที่ 14,17.060036,98.978917
